beat,beaten,5
fit,fit,5
set,set,5
spread,spread,5
hit,hit,5
cut,cut,5
put,put,5
thrust,thrust,1
bid,bid,1
#
build,built,5
send,sent,5
spend,spent,5
bend,bent,1
lend,lent,1
#
feel,felt,10
deal,dealt,5
do,did,5
flee,fled,5
tell,told,5
sell,sold,5
hear,heard,5
keep,kept,5
leave,left,5
sleep,slept,5
lose,lost,5
mean,meant,5
say,said,5
sweep,swept,5
creep,crept,1
weep,wept,1
#
have,had,10
make,made,10
think,thought,5
buy,bought,5
bring,brought,5
seek,sought,5
teach,taught,5
catch,caught,1
#
get,got,10
meet,met,5
shoot,shot,5
write,wrote,5
lead,led,5
understand,understood,5
sit,sat,5
mislead,misled,5
bleed,bled,5
feed,fed,5
stand,stood,5
light,lit,5
find,found,5
fight,fought,5
read,read,5
meet,met,5
hide,hid,5
hold,held,5
ride,rode,5
breed,bred,1
wind,wound,1
grind,ground,1
#
drink,drank,5
ring,rang,5
sing,sang,5
swim,swam,5
#
drag,drug,5
hang,hung,5
swing,swung,5
dig,dug,1
cling,clung,1
stick,stuck,1
#
give,gave,10
take,took,10
come,came,10
shake,shook,5
arise,arose,5
rise,rose,5
run,ran,5
become,became,5
bear,bore,5
wear,wore,5
speak,spoke,5
brake,broke,5
drive,drove,5
strike,struck,5
fall,fell,5
freeze,froze,5
choose,chose,5
tear,tore,1
#
go,went,10
throw,threw,5
blow,blew,5
grow,grew,5
draw,drew,5
fly,flew,5
know,knew,5
see,saw,5