creak,creaked
cry,cried
croak,croaked
wist,wisted
soberize,soberized
revegate,revegetated
finess,finessed
impersonalize,impersonalized
cuss,cussed
overage,overaged
retailor,retailored
barrage,barraged
clot,clotted
nonlead,nonleaded
disclaim,disclaimed
knar,knarred
sparkplug,sparkplugged
demount,demounted
muntiny,mutinied
pig,pigged
attract,attracted
flench,flenched
institutionalise,institutionalised
unanswer,unanswered
monograph,monographed
unmew,unmewed
clank,clanked
cane,caned
devel,develed
defilade,defiladed
wrack,wracked
empanel,empanelled
swive,swived
unend,unended
engird,engirded
malfunction,malfunctioned
stab,stabbed
uncoordinate,uncoordinated
horde,horded
differentiate,differentiated
beslime,beslimed
frit,fritted
strell,streeled
concave,concaved
broil,broiled
persist,persisted
waver,wavered
knoll,knolled
acylate,acylated
fester,festered
comment,commented
begird,begirded
theatricalize,theatricalized
stereograph,stereographed
detick,deticked
eclipse,eclipsed
transmogrify,transmogrified
gormanize,gormandized
chart,charted
sail,sailed
scrape,scraped
snuggle,snuggled
mill,milled
humbug,humbugged
dangle,dangled
reharden,rehardened
leave,leaved
dimerize,dimerized
localize,localized
negate,negated
paw,pawed
raven,ravened
misjudge,misjudged
quieten,quietened
dumbfounder,dumbfoundered
outprice,outpriced
coy,coyed
fissure,fissured
report,reported
lawyer,lawyered
auction,auctioned
affiliate,affiliated
splint,splinted
nature,natured
climb,climbed
catalyze,catalyzed
yclep,ycleped
sled,sledded
resilver,resilvered
owe,owed
trolly,trollied
explain,explained
scoff,scoffed
premold,premolded
junket,junketed
herald,heralded
etiolate,etiolated
mire,mired
underprivilege,underprivileged
highball,highballed
menace,menaced
flub,flubbed
gash,gashed
chequer,chequered
enflame,enflamed
grime,grimed
fame,famed
plunge,plunged
cajole,cajoled
hony,honied
poop,pooped
sideburn,sideburned
organize,organized
dint,dinted
oppugn,oppugned
untinge,untinged
boldface,boldfaced
blarney,blarneyed
reimagine,reimagined
liven,livened
speel,speeled
fuzz,fuzzed
groan,groaned
shirk,shirked
hoodoo,hoodooed
dare,dared
tangle,tangled
dignify,dignified
backpedal,backpedaled
riprap,riprapped
cluck,clucked
gabell,gabelled
minimize,minimized
macadamize,macadamized
destine,destined
twine,twined
footfault,footfaulted
trellis,trellised
endeavour,endeavoured
romp,romped
calve,calved
imbody,imbodied
kirn,kirned
stockpile,stockpiled
dream,dreamed
profane,profaned
mump,mumped
ensky,enskyed
unsaddle,unsaddled
deave,deaved
offload,offloaded
interbed,interbed
wale,waled
mature,matured
reenter,reentered
guile,guiled
spiral,spiralled
inoculate,inoculated
pshaw,pshawed
gunkhole,gunkholed
mammer,mammered
wood,wooded
cooey,cooeyed
throne,throned
drivel,drivelled
bemadam,bemadamed
braise,braised
glut,glutted
liberalise,liberalised
photolyze,photolyzed
armour,armoured
gyre,gyred
queue,queued
blush,blushed
inpour,inpoured
alkylate,alkylated
ooh,oohed
antevert,anteverted
snake,snaked
blind,blinded
emulsify,emulsified
flood,flooded
valorize,valorized
squash,squashed
flichter,flichtered
assure,assured
corelate,corelated
wigwag,wigwagged
tinkle,tinkled
weevil,weeviled
audition,auditioned
ear,eared
dibble,dibbled
henna,hennaed
shelve,shelved
bate,bated
reavail,reavailed
renumber,renumbered
den,denned
unfill,unfilled
diazotize,diazotized
sally,sallied
motorise,motorised
bit,bitted
tired,tired
need,needed
shrieve,shrieved
rummage,rummaged
frown,frowned
italianize,italianized
stultify,stultified
rectify,rectified
azotise,azotised
legate,legated
lung,lunged
reordain,reordained
morph,morphed
yen,yenned
derive,derived
fever,fevered
lipstick,lipsticked
doze,dozed
chir,chirred
benight,benighted
mudcap,mudcapped
slime,slimed
soak,soaked
arpegiate,arpeggiated
heliograph,heliographed
absorb,absorbed
parasitise,parasitised
soldier,soldiered
let,letted
pixilate,pixilated
sacculate,sacculated
fig,figged
unlevel,unlevelled
sufflate,sufflated
inurn,inurned
singe,singed
metricize,metricized
purge,purged
loiter,loitered
augure,augured
heckle,heckled
dick,dicked
deed,deeded
doil,doiled
cockbill,cockbilled
teat,teated
cape,caped
avulse,avulsed
pock,pocked
fiberize,fiberized
obnubilate,obnubilated
curlicue,curlicued
exculpate,exculpated
flank,flanked
board,boarded
serif,serifed
ham,hammed
bled,bled
dray,drayed
germanize,germanized
nog,nogged
fang,fanged
arcuate,arcuated
pillory,pilloried
roll,rolled
kite,kited
regulate,regulated
patent,patented
plan,planned
adventure,adventured
adapt,adapted
ask,asked
dirl,dirled
zig,zigged
unbutton,unbuttoned
fudge,fudged
windle,windled
unheal,unhealed
fondle,fondled
moss,mossed
tare,tared
sponge,sponged
tutoy,tutoyed
dolly,dollied
roof,roofed
chuck,chucked
masculinize,masculinized
harangue,harangued
refilter,refiltered
work,worked
gavot,gavotted
divert,diverted
copolymerize,copolymerized
man,manned