differentiate,differentiated,2
scrape,scraped,2
dangle,dangled,1
leave,leaved,191
localize,localized,1
negate,negated,2
owe,owed,10
plunge,plunged,1
organize,organized,14
dare,dared,16
tangle,tangled,1
minimize,minimized,16
mature,matured,7
assure,assured,37
derive,derived,13
purge,purged,1
regulate,regulated,2
adventure,adventured,1
sponge,sponged,2
#,#,0
divert,diverted,1
work,worked,179
adapt,adapted,5
ask,asked,123
deed,deeded,1
soak,soaked,7
frown,frowned,1
need,needed,160
audition,auditioned,1
blind,blinded,1
blush,blushed,1
dream,dreamed,11
climb,climbed,11
report,reported,37
attract,attracted,19
broil,broiled,1
persist,persisted,6
waver,wavered,2
comment,commented,7
chart,charted,1
sail,sailed,6
paw,pawed,1
explain,explained,63
flood,flooded,2
absorb,absorbed,13
board,boarded,4
roll,rolled,18
chuck,chucked,3
#,#,0
cry,cried,18
dignify,dignified,1
#,#,0
clot,clotted,1
spiral,spiralled,1
let,letted,335
plan,planned,29
man,manned,3